"image_id","psp_code","gis_code"
"wKku7JX9oLkYwqUh__KSKQ_81",33344,2312
"2Yx-Q0olEsjx65z-xE8Wog_163",42434,2311
"ZH1fSO2nyQbRXznFoXaVKw_113",44213,2312
"da_ZMkAiRJF7CgGj4Z-qTQ_41",12433,2311
"wksq-PLNXyuua30xVXy2SQ_110",21413,2312
"22nlUjC2Wh5ymil10zZudA_294",13223,2311
"FRL85zA-nxDofn-evVBADg_176",12431,2312
"qT_dIYiNezH2eEXghJr5aQ_251",14114,2311
"eMAt8JRyal87ZWCRRqAPiA_79",32444,2312
"lopUxPIy-1NFFtZMrL1QTg_89",14133,2311
"cHqA0fdRzSgo68HiPdmTkw_166",11341,2312
"dPuhWutY90xp4VZ1TeOvQw_36",32121,2311
"RV9pOy2wExSkvG3_ly4eRQ_298",41423,2312
"y3yBqpVh9ifO8ONpq1AoxA_88",24433,2311
"tK1arAzexbENKkNQLo8JCw_180",22144,2312
"ujEO_wpkNxrIkhKdfucNWQ_214",24244,2311
"GA18Mf1_douVnQ1S8WksOQ_192",14133,2312
"g5o6HWMZL7PPYFwXLtTquA_120",11144,2311
"e2XiWRhXLEfTN5-g8l55cQ_163",34342,2312
"JesmH7EejOn57b9e44Dm9Q_159",13133,2311
"kwH4r8uUBDU9u1cIfDeuew_1",42121,2312
"ILKXEd2_X8Uqxh6Wq9bBcw_309",33231,2311
"ab_ABvCxVwCsHq22Mx2Vuw_353",43141,2312
"k3z3D3ZUjV-flrwNfl-nFQ_114",34114,2311
"QvRb84wrxPTwOJSXHp9c4Q_122",13344,2312
"2MNP-n1V3Mie2tdvxfzvxg_93",24142,2311
"XAlgmbJZD__xLkdNi_jwUA_288",33442,2312
"0VWSpQX48L-JNiV19_zM4w_236",13133,2311
"8jcW6BWiQwv__c6iLzpUeQ_57",23234,2312
"CHyO-t-Sn8GRojZ9O_MiYw_253",12223,2311
"qpC_aNRoNZVm_laoGcnHDQ_178",14211,2312
"FQSvxaB7ixq7kRI3qEeI-A_91",41314,2311
"Xu792T78NnVCJ6Mib1yg_w_165",14144,2312
"jkRATYqcc1g19uiJLB6Cuw_45",12212,2311
"AMJeADnUN44SvuqsNLcs7Q_140",33431,2312
"tQ2sgK1wuKrWyjX25NcdSg_75",31342,2311
"2N2xO73kFNtNu636fZndiw_147",13332,2312
"5XbhK5bJjY1an87qpfMGaQ_73",34322,2311
"yZgSqEaDawvVdJCBMvX0mQ_311",42311,2312
